chapter,public_path,canonical_source,sha256,purpose,status,data_boundary
Chapter 4.4,00_THESIS_WRITING_GUIDE/04_Empirical_Results/04_Correlation_Diagnostic/correlation_table.xlsx,results/baseline_v1/correlation_table.xlsx,171bcf8e9eb3c1bf2caa7d709e552f289c30503e5c3b862dc058922afb202eab,Pearson相关与散点数据,validated public copy,aggregate result or research document
Chapter 4.4,00_THESIS_WRITING_GUIDE/04_Empirical_Results/04_Correlation_Diagnostic/Figure3.png,results/paper_v1/Figures/Figure3.png,0ca3f4772ba8e9dbae80729506146016f461f0d9ca71b80ace0ea4b3a6f15656,ln_RVOL与R20散点图,validated public copy,aggregate result or research document
Chapter 4.4,00_THESIS_WRITING_GUIDE/04_Empirical_Results/04_Correlation_Diagnostic/Figure3.pdf,results/paper_v1/Figures/Figure3.pdf,15d981818e03dcd214f3dd7486b0dcff79b8b04bac138be4ec398c95fb1ddc73,Figure3论文排版版本,validated public copy,aggregate result or research document
Chapter 4,00_THESIS_WRITING_GUIDE/04_Empirical_Results/empirical_results_summary.md,results/paper_v1/empirical_results_summary.md,fbc6d67d756de6aaaf72369becc6c12ec6158737cfb6c93d940c726204852b6b,主结果文字摘要,validated public copy,aggregate result or research document
Chapter 5,00_THESIS_WRITING_GUIDE/05_Robustness_and_Additional/robustness_summary.xlsx,results/robustness_v1/robustness_summary.xlsx,386ff48988245d209e88befe07d6be6ffb0570498f5cc48e3c4352a135ebf10f,全部核心稳健性结果汇总,validated public copy,aggregate result or research document
Chapter 5.1,00_THESIS_WRITING_GUIDE/05_Robustness_and_Additional/01_Breakout_Threshold/Table4.xlsx,results/paper_v1/Tables/Table4.xlsx,d42525746860fcd2e5f689c8207f46ad9f295b0239c35a740f232be5eda3a757,0.5%、1%、2%阈值比较,validated public copy,aggregate result or research document
Chapter 5.1,00_THESIS_WRITING_GUIDE/05_Robustness_and_Additional/01_Breakout_Threshold/Figure4.png,results/paper_v1/Figures/Figure4.png,8b87034a34655ae554cd4385e2f75bdaeef9369823eff82a8628b1fb7a1ca340,阈值核心系数图,validated public copy,aggregate result or research document
Chapter 5.1,00_THESIS_WRITING_GUIDE/05_Robustness_and_Additional/01_Breakout_Threshold/Figure4.pdf,results/paper_v1/Figures/Figure4.pdf,c0d86fe278f19ba8e061a86bf875146ed09a184730ad9faab696efff6caaefc4,Figure4论文排版版本,validated public copy,aggregate result or research document
Chapter 5.1,00_THESIS_WRITING_GUIDE/05_Robustness_and_Additional/01_Breakout_Threshold/threshold_robustness_summary.xlsx,outputs/research_audit_20260919/threshold_robustness_summary.xlsx,048adf4e9585b98f64b9743962d3db5abbb93ad0572d7f33ea4447de3f945eba,阈值与ATR设计比较,validated public copy,aggregate result or research document
Chapter 5.2,00_THESIS_WRITING_GUIDE/05_Robustness_and_Additional/02_ATR20_Breakout/Table5.xlsx,results/paper_v1/Tables/Table5.xlsx,a58537729250dfcfb02721e1fee57adc1f10cbfc0063dfc7f7adfd953a3ef390,0.5%与ATR20比较,validated public copy,aggregate result or research document
Chapter 5.3,00_THESIS_WRITING_GUIDE/05_Robustness_and_Additional/03_Volume_Window/Table6.xlsx,results/paper_v1/Tables/Table6.xlsx,0fdb1141cfa946a4f8f4686ca40dea62ab05f62c2dd516aabf534f8b5e308471,RVOL20、60、120比较,validated public copy,aggregate result or research document
Chapter 5.3,00_THESIS_WRITING_GUIDE/05_Robustness_and_Additional/03_Volume_Window/Figure5.png,results/paper_v1/Figures/Figure5.png,82864dd768e70e45effc5eded1c1118a60dee2a64eaf3e151e44317ad83cd1a4,成交量窗口核心系数图,validated public copy,aggregate result or research document
Chapter 5.3,00_THESIS_WRITING_GUIDE/05_Robustness_and_Additional/03_Volume_Window/Figure5.pdf,results/paper_v1/Figures/Figure5.pdf,486fa3da1a155763d96971bf0e36ad492371971af6c6ed56588e8bc78d8374a2,Figure5论文排版版本,validated public copy,aggregate result or research document
Chapter 5.4,00_THESIS_WRITING_GUIDE/05_Robustness_and_Additional/04_Failure20/Table7.xlsx,results/paper_v1/Tables/Table7.xlsx,bc88225d8a06b0bc012f86117f21193d2943213dcfdc30ce68064d37ffa421a1,Failure20 Logit结果,validated public copy,aggregate result or research document
Chapter 5.4,00_THESIS_WRITING_GUIDE/05_Robustness_and_Additional/04_Failure20/Figure6.png,results/paper_v1/Figures/Figure6.png,e2474c6ad68c839ac99f0a76e9958d1ecc8fc4f8ea7044f07ab6166032081da1,RVOL组别Failure20比例,validated public copy,aggregate result or research document
Chapter 5.4,00_THESIS_WRITING_GUIDE/05_Robustness_and_Additional/04_Failure20/Figure6.pdf,results/paper_v1/Figures/Figure6.pdf,e90652efeda9b9a7b240e240fcfdd57819e5cd07e93e8ecc0ff56a141d19e938,Figure6论文排版版本,validated public copy,aggregate result or research document
Chapter 6,00_THESIS_WRITING_GUIDE/06_Discussion/THESIS_EVIDENCE_MATRIX.md,docs/THESIS_EVIDENCE_MATRIX.md,1821a8affe36edc2d6e78e2148fc2cd5c3e558f9aaf4c560df62cb9d9a4600f9,结论表述边界,validated public copy,aggregate result or research document
Chapter 6,00_THESIS_WRITING_GUIDE/06_Discussion/Reviewer_Report.md,results/audit_20260919/Reviewer_Report.md,31d00ea9b132737bf1040150a62ac8ca7154ce4e1ea6acd8d254198120b9f402,审稿人视角缺陷与答辩问题,validated public copy,aggregate result or research document
Chapter 7,00_THESIS_WRITING_GUIDE/07_Conclusion/FINAL_PROJECT_STATUS.md,results/audit_20260919/FINAL_PROJECT_STATUS.md,9503267349c0a98f7db2aa099296715f800d4186cfcd44c24711e5ad3a0dd906,最终状态与结论来源,validated public copy,aggregate result or research document
Appendix,00_THESIS_WRITING_GUIDE/08_Appendices/Research_Master_Document.md,results/audit_20260919/Research_Master_Document.md,48c22d59c5ad1cf59dcdf6043e82682420a935e902da15e126cc0bd4ac763336,完整研究流程,validated public copy,aggregate result or research document
Appendix,00_THESIS_WRITING_GUIDE/08_Appendices/variable_audit.md,results/audit_20260919/variable_audit.md,bc626d24d0994b950a1b4c43904c9cb0401a897839ee6303ea6e2f27c837205d,变量设计审计,validated public copy,aggregate result or research document
Appendix,00_THESIS_WRITING_GUIDE/08_Appendices/model_audit.md,results/audit_20260919/model_audit.md,c89098898f9682f8b464af26315a7510e3c13969f3ad603770b2a98b7b3aca35,模型设计审计,validated public copy,aggregate result or research document
Appendix,00_THESIS_WRITING_GUIDE/08_Appendices/Research_Project_Map.xlsx,docs/Research_Project_Map.xlsx,0fe33363f113fcf6ca0c5d0fd6b9153a60fdf45b9d7a9d0ab56f73c513e1c8bd,研究项目总地图,validated public copy,aggregate result or research document
Chapter 5.5,00_THESIS_WRITING_GUIDE/05_Robustness_and_Additional/05_Market_Adjusted_Return/market_adjusted_results_summary.xlsx,summary extracted from full DataVault workbook,16fb4948cb7dd057f5d4e61362964c89551dca3d3f631ab56d76b04a2256b785,市场调整收益公开汇总,validated public summary,event-level sheet intentionally omitted
Chapter 5.6,00_THESIS_WRITING_GUIDE/05_Robustness_and_Additional/06_Failure60/failure60_results_summary.xlsx,summary extracted from full DataVault workbook,39d7a7080c97be2d55c5358c2705963d00a6c9e888245023decf258e3b287a81,Failure60公开汇总,validated public summary,event-level sheet intentionally omitted
DataVault,,D008:frozen/final_event_pool_v1/final_event_pool_v1.csv,see data/manifests/vault_channel_manifest.json,最终事件池，193行,DataVault only,冻结事件级数据，不进入公开Git历史
DataVault,,D009:frozen/final_analysis_dataset_v1.csv,see data/manifests/vault_channel_manifest.json,最终分析数据，一事件一行,DataVault only,冻结事件级数据，不进入公开Git历史
DataVault,,D014-QC:archive/project_outputs_snapshot_20260924/hfq_final/quality_check_report.xlsx,see data/manifests/vault_channel_manifest.json,完整质量检查,DataVault only,包含股票与事件明细；公开包使用文字审计
DataVault,,D014-GROUP:archive/project_outputs_snapshot_20260924/hfq_final/rvol_group_analysis.xlsx,see data/manifests/vault_channel_manifest.json,完整RVOL分组,DataVault only,包含193行事件分组明细；公开包使用Table3
DataVault,,D014-ATR:archive/project_outputs_snapshot_20260924/hfq_final/atr_robustness.xlsx,see data/manifests/vault_channel_manifest.json,完整ATR20稳健性,DataVault only,包含事件明细；公开包使用Table5
DataVault,,D014-VOL:archive/project_outputs_snapshot_20260924/hfq_final/volume_window_robustness.xlsx,see data/manifests/vault_channel_manifest.json,完整成交量窗口稳健性,DataVault only,包含事件明细；公开包使用Table6
DataVault,,D014-F20:archive/project_outputs_snapshot_20260924/hfq_final/breakout_failure_analysis.xlsx,see data/manifests/vault_channel_manifest.json,完整Failure20分析,DataVault only,包含事件明细；公开包使用Table7
DataVault,,D014-MKT:archive/project_outputs_snapshot_20260924/research_audit_20260919/market_adjusted_results.xlsx,see data/manifests/vault_channel_manifest.json,完整市场调整分析,DataVault only,公开包只保留汇总、回归与方法说明
DataVault,,D014-F60:archive/project_outputs_snapshot_20260924/research_audit_20260919/failure60_results.xlsx,see data/manifests/vault_channel_manifest.json,完整Failure60分析,DataVault only,公开包只保留回归、分组、状态与方法说明
DataVault,,D014-DEFECT:archive/project_outputs_snapshot_20260924/hfq_final/threshold_robustness.xlsx,see data/manifests/vault_channel_manifest.json,旧threshold文件,DataVault only,已知缺陷：扩展名为xlsx但内容是JSON；不得作为论文Excel证据
